city,district,state_di,Post_Code_dg
Lahore,Lahore District,Punjab,54000
Peshawar,Peshawar District,Khyber Pakhtunkhwa,25000
Faisalabad,Faisalabad District,Punjab,38000
Jhumra,Faisalabad District,Punjab,38000
Wazirabad,Gujranwala District,Punjab,52250
Rawalpindi,Rawalpindi District,Punjab,46000
Abbottabad,Abbottabad District,Khyber Pakhtunkhwa,22010
Islamabad,Islamabad,Islamabad Capital Territory,44000
Sialkot,Sialkot District,Punjab,51310
Gujrat,Gujrat District,Punjab,50700
Faisalabad,Faisalabad District,Punjab,38000
Arifwala,Pakpattan District,Punjab,
Lahore,Lahore District,Punjab,54000
Bahawalpur,Bahawalpur District,Punjab,63100
Karachi,,Sindh,74200
Sahiwal,Sahiwal District,Punjab,57000
Karachi,,Sindh,74200
Lahore,Lahore District,Punjab,54000
Karachi,Karachi East District,Sindh,74200
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Sialkot,Sialkot District,Punjab,51310
Lahore,Lahore District,Punjab,54000
Multan,,Punjab,60000
Lahore,Lahore District,Punjab,54000
Jhang,Jhang District,Punjab,35200
Rahim Yar Khan,Rahimyar Khan District,Punjab,64200
Peshawar,,Khyber Pakhtunkhwa,25000
Sialkot,Sialkot District,Punjab,51310
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Shalimar,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Faisalabad,Faisalabad District,Punjab,38000
Lahore,Lahore District,Punjab,54000
Multan,,Punjab,60000
Peshawar,Peshawar District,Khyber Pakhtunkhwa,25000
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Peshawar,Peshawar District,Khyber Pakhtunkhwa,25000
Lahore,Lahore District,Punjab,54000
Sadiqabad,Rahim Yar Khan,Punjab,
Karachi,Karachi East District,Sindh,74200
Karachi,,Sindh,74200
Lahore,,Punjab,54000
Lahore,Lahore District,Punjab,54000
Sheikhupura,Shekhupura District,Punjab,
Lahore,Lahore District,Punjab,54000
Karachi,,Sindh,74200
Faisalabad,Faisalabad District,Punjab,38000
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Multan,Multan District,Punjab,60000
Lahore,,Punjab,54000
Arifwala,Pakpattan District,Punjab,
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Karachi,,Sindh,74200
Lahore,Lahore District,Punjab,54000
Sahiwal,Sahiwal District,Punjab,57000
Karachi,,Sindh,74200
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Faisalabad,Faisalabad District,Punjab,38000
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Kot Radha Kishan,Kasur District,Punjab,55050
Islamabad,,Islamabad Capital Territory,44000
Karachi,,Sindh,74200
Karachi,,Sindh,74200
Faisalabad,Faisalabad District,Punjab,38000
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Multan,Multan District,Punjab,60000
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Okara,Okara District,Punjab,56300
Lahore,Lahore District,Punjab,54000
Lahore,,Punjab,54000
Faisalabad,Faisalabad District,Punjab,38000
Gujranwala,Gujranwala District,Punjab,52250
Lahore,Lahore District,Punjab,54000
Sialkot,Sialkot District,Punjab,51310
Lahore,Lahore District,Punjab,54000
Multan,Multan District,Punjab,60000
Lahore,Lahore District,Punjab,54000
Faisalabad,Faisalabad District,Punjab,38000
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Multan,Multan District,Punjab,60000
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Multan,Multan District,Punjab,60000
Lahore,Lahore District,Punjab,54000
Multan,,Punjab,60000
Lahore,Lahore District,Punjab,54000
Gujranwala,Gujranwala District,Punjab,52250
Faisalabad,Faisalabad District,Punjab,38000
Bahawalpur,,Punjab,63100
Lahore,Lahore District,Punjab,54000
Gujrat,Gujrat District,Punjab,50700
Lahore,Lahore District,Punjab,54000
Faisalabad,Faisalabad District,Punjab,38000
Multan,Multan District,Punjab,60000
Karachi,,Sindh,74200
Jhang,Jhang District,Punjab,35200
Dera Ghazi Khan,Dera Ghazi Khan District,Punjab,32200
Gujranwala,Gujranwala District,Punjab,52250
Jaranwala,Faisalabad District,Punjab,38000
Quetta,Quetta District,Balochistan,87300
Lahore,Lahore District,Punjab,54000
Okara,Okara District,Punjab,56300
Islamabad,Islamabad,Islamabad Capital Territory,44000
Daska,Sialkot District,Punjab,51310
Lahore,Lahore District,Punjab,54000
Hafizabad,Hafizabad District,Punjab,
Lahore,Lahore District,Punjab,54000
Jhelum,Jhelum District,Punjab,49600
Sahiwal,Sahiwal District,Punjab,57000
Faisalabad,Faisalabad District,Punjab,38000
Khyber,Matiari District,Sindh,
Lahore,Lahore District,Punjab,54000
Muzaffargarh,Muzaffargarh District,Punjab,34200
Gujranwala,Gujranwala District,Punjab,52250
Mardan,Mardan District,Khyber Pakhtunkhwa,23200
Lahore,,Punjab,54000
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Chiniot,Chiniot,Punjab,
Rajanpur,Rajanpur,Punjab,
Arifwala,Pakpattan District,Punjab,
Lahore,Lahore District,Punjab,54000
Okara,Okara District,Punjab,56300
Khanpur,Shikarpur,Sindh,78100
Rahim Yar Khan,Rahimyar Khan District,Punjab,64200
Mailsi,Vehari District,Punjab,61100
Lahore,Lahore District,Punjab,54000
Kamoke,Gujranwala District,Punjab,52250
Islamabad,Islamabad,Islamabad Capital Territory,44000
Sialkot,,Punjab,51310
Mardan,Mardan District,Khyber Pakhtunkhwa,23200
Karachi,Karachi East District,Sindh,74200
Dera Ghazi Khan,Dera Ghazi Khan District,Punjab,32200
Mardan,Mardan District,Khyber Pakhtunkhwa,23200
Muzaffargarh,Muzaffargarh District,Punjab,34200
Rawalpindi,Rawalpindi District,Punjab,46000
Dera Ghazi Khan,Dera Ghazi Khan District,Punjab,32200
Bannu,Bannu District,Khyber Pakhtunkhwa,28100
Lahore,Lahore District,Punjab,54000
Gujranwala,Gujranwala District,Punjab,52250
Lahore,Lahore District,Punjab,54000
Gujranwala,Gujranwala District,Punjab,52250
Dera Ghazi Khan,Dera Ghazi Khan District,Punjab,32200
Faisalabad,Faisalabad District,Punjab,38000
Peshawar,Peshawar District,Khyber Pakhtunkhwa,25000
Karachi,,Sindh,74200
Tando Adam,Sanghar District,Sindh,68100
Rahim Yar Khan,Rahimyar Khan District,Punjab,64200
Lahore,Lahore District,Punjab,54000
Faisalabad,Faisalabad District,Punjab,38000
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Karachi,Karachi East District,Sindh,74200
Dera Ghazi Khan,Dera Ghazi Khan District,Punjab,32200
Rawalpindi,Rawalpindi District,Punjab,46000
Nasirabad,Qambar Shahdadkot,Sindh,
Karachi,,Sindh,74200
Lahore,,Punjab,54000
Chakwal,Chakwal District,Punjab,48800
Malir,Malir District,Sindh,
Faisalabad,Faisalabad District,Punjab,38000
Gujranwala,Gujranwala District,Punjab,52250
Sahiwal,,Punjab,57000
Rahim Yar Khan,Rahimyar Khan District,Punjab,64200
Jhumra,Faisalabad District,Punjab,38000
Faisalabad,Faisalabad District,Punjab,38000
Faisalabad,Faisalabad District,Punjab,38000
Karachi,Karachi East District,Sindh,74200
Faisalabad,Faisalabad District,Punjab,38000
Faisalabad,Faisalabad District,Punjab,38000
Faisalabad,Faisalabad District,Punjab,38000
Faisalabad,Faisalabad District,Punjab,38000
Sahiwal,,Punjab,57000
Korangi,Korangi District,Sindh,74900
Faisalabad,Faisalabad District,Punjab,38000
Okara,Okara District,Punjab,56300
Sahiwal,Sahiwal District,Punjab,57000
Faisalabad,Faisalabad District,Punjab,38000
Sahiwal,Sahiwal District,Punjab,57000
Faisalabad,Faisalabad District,Punjab,38000
Mardan,Mardan District,Khyber Pakhtunkhwa,23200
Jhang,Jhang District,Punjab,35200
Dera Ghazi Khan,Dera Ghazi Khan District,Punjab,32200
Wazirabad,Gujranwala District,Punjab,52250
Khairpur Tamewali,Bahawalpur District,Punjab,63100
Lahore,Lahore District,Punjab,54000
Mandi Bahauddin,Mandi Bahauddin District,Punjab,50400
Rajanpur,Rajanpur,Punjab,
Faisalabad,Faisalabad District,Punjab,38000
Multan,Multan District,Punjab,60000
Faisalabad,Faisalabad District,Punjab,38000
Jaranwala,Faisalabad District,Punjab,38000
Gujranwala,Gujranwala District,Punjab,52250
Mardan,Mardan District,Khyber Pakhtunkhwa,23200
Sialkot,Sialkot District,Punjab,51310
Faisalabad,Faisalabad District,Punjab,38000
Faisalabad,Faisalabad District,Punjab,38000
Rawalpindi,Rawalpindi District,Punjab,46000
Rawalpindi,Rawalpindi District,Punjab,46000
Peshawar,Peshawar District,Khyber Pakhtunkhwa,25000
Multan,Multan District,Punjab,60000
Shujabad,Multan District,Punjab,60000
Faisalabad,Faisalabad District,Punjab,38000
Sialkot,Sialkot District,Punjab,51310
Sialkot,Sialkot District,Punjab,51310
Rawalpindi,Rawalpindi District,Punjab,46000
Rawalpindi,Rawalpindi District,Punjab,46000
Multan,Multan District,Punjab,60000
Sialkot,Sialkot District,Punjab,51310
Vehari,Vehari District,Punjab,61100
Kharian,Gujrat District,Punjab,50700
Faisalabad,,Punjab,38000
Shakargarh,Narowal District,Punjab,51600
Karachi,,Sindh,74200
Rawalpindi,Rawalpindi District,Punjab,46000
Karachi,Karachi Central District,Sindh,74200
Sialkot,Sialkot District,Punjab,51310
Sahiwal,Sahiwal District,Punjab,57000
Lahore,Lahore District,Punjab,54000
Faisalabad,Faisalabad District,Punjab,38000
Faisalabad,Faisalabad District,Punjab,38000
Faisalabad,Faisalabad District,Punjab,38000
Mardan,Mardan District,Khyber Pakhtunkhwa,23200
Sahiwal,Sahiwal District,Punjab,57000
Faisalabad,Faisalabad District,Punjab,38000
Khyber,Matiari District,Sindh,
Faisalabad,Faisalabad District,Punjab,38000
Gujranwala,Gujranwala District,Punjab,52250
Shorkot,Jhang District,Punjab,35200
Faisalabad,Faisalabad District,Punjab,38000
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Karachi,,Sindh,74200
Quetta,Quetta District,Balochistan,87300
Gujranwala,Gujranwala District,Punjab,52250
Karachi,Karachi East District,Sindh,74200
Peshawar,Peshawar District,Khyber Pakhtunkhwa,25000
Karachi,,Sindh,74200
Islamabad,Islamabad,Islamabad Capital Territory,44000
Gujranwala,Gujranwala District,Punjab,52250
Gujranwala,Gujranwala District,Punjab,52250
Okara,Okara District,Punjab,56300
Gujranwala,Gujranwala District,Punjab,52250
Gujranwala,Gujranwala District,Punjab,52250
Gujranwala,Gujranwala District,Punjab,52250
Sialkot,Sialkot District,Punjab,51310
Quetta,,Balochistan,87300
Multan,Multan District,Punjab,60000
Lahore,Lahore District,Punjab,54000
Jhang,Jhang District,Punjab,35200
Bahawalnagar,Bahawalnagar District,Punjab,
Sadiqabad,Rahim Yar Khan,Punjab,
Gujrat,Gujrat District,Punjab,50700
Depalpur,Okara District,Punjab,56300
Wazirabad,Gujranwala District,Punjab,52250
Sialkot,Sialkot District,Punjab,51310
Rahim Yar Khan,Rahimyar Khan District,Punjab,64200
Lahore,Lahore District,Punjab,54000
Quetta,Quetta District,Balochistan,87300
Faisalabad,Faisalabad District,Punjab,38000
Gujranwala,Gujranwala District,Punjab,52250
Pabbi,Nowshehra,Khyber Pakhtunkhwa,
Hafizabad,Hafizabad District,Punjab,
Faisalabad,Faisalabad District,Punjab,38000
Karachi,,Sindh,74200
Cholt,Nagar District,Gilgit Baltistan,
Faisalabad,Faisalabad District,Punjab,38000
Jaranwala,Faisalabad District,Punjab,38000
Sahiwal,,Punjab,57000
Lahore,,Punjab,54000
Korangi,Korangi District,Sindh,74900
Lahore,Lahore District,Punjab,54000
Islamabad,,Islamabad Capital Territory,44000
Lahore,Lahore District,Punjab,54000
Chiniot,Chiniot,Punjab,
Islamabad,Islamabad,Islamabad Capital Territory,44000
Lahore,,Punjab,54000
Multan,,Punjab,60000
Karachi,Karachi East District,Sindh,74200
Sialkot,,Punjab,51310
Lahore,,Punjab,54000
Lahore,,Punjab,54000
Lahore,,Punjab,54000
Lahore,,Punjab,54000
Lahore,Lahore District,Punjab,54000
Lahore,,Punjab,54000
Gujrat,Gujrat District,Punjab,50700
Peshawar,Peshawar District,Khyber Pakhtunkhwa,25000
Lahore,Lahore District,Punjab,54000
Lahore,Lahore District,Punjab,54000
Multan,Multan District,Punjab,60000
Multan,,Punjab,60000
Lahore,,Punjab,54000
Lahore,Lahore District,Punjab,54000
Lahore,,Punjab,54000
Islamabad,Islamabad,Islamabad Capital Territory,44000
Bahawalnagar,Bahawalnagar District,Punjab,
Karachi,Karachi East District,Sindh,74200
Sialkot,Sialkot District,Punjab,51310
Peshawar,Peshawar District,Khyber Pakhtunkhwa,25000
Sialkot,,Punjab,51310
Dera Ghazi Khan,Dera Ghazi Khan District,Punjab,32200
Multan,Multan District,Punjab,60000
Lahore,Lahore District,Punjab,54000
Kasur,Kasur District,Punjab,55050
Dera Ghazi Khan,Dera Ghazi Khan District,Punjab,32200
Malir,Malir District,Sindh,
Gujranwala,Gujranwala District,Punjab,52250
Quetta,,Balochistan,87300
Bhalwal,Sargodha District,Punjab,40100
Multan,Multan District,Punjab,60000
Abbottabad,Abbottabad District,Khyber Pakhtunkhwa,22010
Bahawalpur,Bahawalpur District,Punjab,63100
Bahawalpur,,Punjab,63100
Lahore,Lahore District,Punjab,54000
Wazirabad,Gujranwala District,Punjab,52250
Lahore,,Punjab,54000
Karachi,,Sindh,74200
Multan,,Punjab,60000
Faisalabad,Faisalabad District,Punjab,38000
Bahawalpur,,Punjab,63100
Lahore,,Punjab,54000
Karachi,,Sindh,74200
Dera Ghazi Khan,Dera Ghazi Khan District,Punjab,32200
Rawalpindi,,Punjab,46000
Sargodha,,Punjab,40100
Islamabad,Islamabad,Islamabad Capital Territory,44000
Lahore,Lahore District,Punjab,54000
Multan,,Punjab,60000
Karachi,Karachi East District,Sindh,74200
Multan,Multan District,Punjab,60000
Shalimar,Lahore District,Punjab,54000
Sialkot,Sialkot District,Punjab,51310
Lahore,Lahore District,Punjab,54000
