city,district,state_di,Post_Code_dg
Lahore,Lahore District,Punjab,
Peshawar,Peshawar District,Khyber Pakhtunkhwa,
Faisalabad,Faisalabad District,Punjab,
Jhumra,Faisalabad District,Punjab,
Wazirabad,Gujranwala District,Punjab,
Rawalpindi,Rawalpindi District,Punjab,
Abbottabad,Abbottabad District,Khyber Pakhtunkhwa,
Islamabad,Islamabad,Islamabad Capital Territory,
Sialkot,Sialkot District,Punjab,
Gujrat,Gujrat District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Arifwala,Pakpattan District,Punjab,
Lahore,Lahore District,Punjab,
Bahawalpur,Bahawalpur District,Punjab,
Karachi,,Sindh,
Sahiwal,Sahiwal District,Punjab,
Karachi,,Sindh,
Lahore,Lahore District,Punjab,
Karachi,Karachi East District,Sindh,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Sialkot,Sialkot District,Punjab,
Lahore,Lahore District,Punjab,
Multan,,Punjab,
Lahore,Lahore District,Punjab,
Jhang,Jhang District,Punjab,
Rahim Yar Khan,Rahimyar Khan District,Punjab,
Peshawar,,Khyber Pakhtunkhwa,
Sialkot,Sialkot District,Punjab,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Shalimar,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Lahore,Lahore District,Punjab,
Multan,,Punjab,
Peshawar,Peshawar District,Khyber Pakhtunkhwa,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Peshawar,Peshawar District,Khyber Pakhtunkhwa,
Lahore,Lahore District,Punjab,
Sadiqabad,Rahim Yar Khan,Punjab,
Karachi,Karachi East District,Sindh,
Karachi,,Sindh,
Lahore,,Punjab,
Lahore,Lahore District,Punjab,
Sheikhupura,Shekhupura District,Punjab,
Lahore,Lahore District,Punjab,
Karachi,,Sindh,
Faisalabad,Faisalabad District,Punjab,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Multan,Multan District,Punjab,
Lahore,,Punjab,
Arifwala,Pakpattan District,Punjab,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Karachi,,Sindh,
Lahore,Lahore District,Punjab,
Sahiwal,Sahiwal District,Punjab,
Karachi,,Sindh,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Kot Radha Kishan,Kasur District,Punjab,
Islamabad,,Islamabad Capital Territory,
Karachi,,Sindh,
Karachi,,Sindh,
Faisalabad,Faisalabad District,Punjab,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Multan,Multan District,Punjab,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Okara,Okara District,Punjab,
Lahore,Lahore District,Punjab,
Lahore,,Punjab,
Faisalabad,Faisalabad District,Punjab,
Gujranwala,Gujranwala District,Punjab,
Lahore,Lahore District,Punjab,
Sialkot,Sialkot District,Punjab,
Lahore,Lahore District,Punjab,
Multan,Multan District,Punjab,
Lahore,Lahore District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Multan,Multan District,Punjab,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Multan,Multan District,Punjab,
Lahore,Lahore District,Punjab,
Multan,,Punjab,
Lahore,Lahore District,Punjab,
Gujranwala,Gujranwala District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Bahawalpur,,Punjab,
Lahore,Lahore District,Punjab,
Gujrat,Gujrat District,Punjab,
Lahore,Lahore District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Multan,Multan District,Punjab,
Karachi,,Sindh,
Jhang,Jhang District,Punjab,
Dera Ghazi Khan,Dera Ghazi Khan District,Punjab,
Gujranwala,Gujranwala District,Punjab,
Jaranwala,Faisalabad District,Punjab,
Quetta,Quetta District,Balochistan,
Lahore,Lahore District,Punjab,
Okara,Okara District,Punjab,
Islamabad,Islamabad,Islamabad Capital Territory,
Daska,Sialkot District,Punjab,
Lahore,Lahore District,Punjab,
Hafizabad,Hafizabad District,Punjab,
Lahore,Lahore District,Punjab,
Jhelum,Jhelum District,Punjab,
Sahiwal,Sahiwal District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Khyber,Matiari District,Sindh,
Lahore,Lahore District,Punjab,
Muzaffargarh,Muzaffargarh District,Punjab,
Gujranwala,Gujranwala District,Punjab,
Mardan,Mardan District,Khyber Pakhtunkhwa,
Lahore,,Punjab,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Chiniot,Chiniot,Punjab,
Rajanpur,Rajanpur,Punjab,
Arifwala,Pakpattan District,Punjab,
Lahore,Lahore District,Punjab,
Okara,Okara District,Punjab,
Khanpur,Shikarpur,Sindh,
Rahim Yar Khan,Rahimyar Khan District,Punjab,
Mailsi,Vehari District,Punjab,
Lahore,Lahore District,Punjab,
Kamoke,Gujranwala District,Punjab,
Islamabad,Islamabad,Islamabad Capital Territory,
Sialkot,,Punjab,
Mardan,Mardan District,Khyber Pakhtunkhwa,
Karachi,Karachi East District,Sindh,
Dera Ghazi Khan,Dera Ghazi Khan District,Punjab,
Mardan,Mardan District,Khyber Pakhtunkhwa,
Muzaffargarh,Muzaffargarh District,Punjab,
Rawalpindi,Rawalpindi District,Punjab,
Dera Ghazi Khan,Dera Ghazi Khan District,Punjab,
Bannu,Bannu District,Khyber Pakhtunkhwa,
Lahore,Lahore District,Punjab,
Gujranwala,Gujranwala District,Punjab,
Lahore,Lahore District,Punjab,
Gujranwala,Gujranwala District,Punjab,
Dera Ghazi Khan,Dera Ghazi Khan District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Peshawar,Peshawar District,Khyber Pakhtunkhwa,
Karachi,,Sindh,
Tando Adam,Sanghar District,Sindh,
Rahim Yar Khan,Rahimyar Khan District,Punjab,
Lahore,Lahore District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Karachi,Karachi East District,Sindh,
Dera Ghazi Khan,Dera Ghazi Khan District,Punjab,
Rawalpindi,Rawalpindi District,Punjab,
Nasirabad,Qambar Shahdadkot,Sindh,
Karachi,,Sindh,
Lahore,,Punjab,
Chakwal,Chakwal District,Punjab,
Malir,Malir District,Sindh,
Faisalabad,Faisalabad District,Punjab,
Gujranwala,Gujranwala District,Punjab,
Sahiwal,,Punjab,
Rahim Yar Khan,Rahimyar Khan District,Punjab,
Jhumra,Faisalabad District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Karachi,Karachi East District,Sindh,
Faisalabad,Faisalabad District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Sahiwal,,Punjab,
Korangi,Korangi District,Sindh,
Faisalabad,Faisalabad District,Punjab,
Okara,Okara District,Punjab,
Sahiwal,Sahiwal District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Sahiwal,Sahiwal District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Mardan,Mardan District,Khyber Pakhtunkhwa,
Jhang,Jhang District,Punjab,
Dera Ghazi Khan,Dera Ghazi Khan District,Punjab,
Wazirabad,Gujranwala District,Punjab,
Khairpur Tamewali,Bahawalpur District,Punjab,
Lahore,Lahore District,Punjab,
Mandi Bahauddin,Mandi Bahauddin District,Punjab,
Rajanpur,Rajanpur,Punjab,
Faisalabad,Faisalabad District,Punjab,
Multan,Multan District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Jaranwala,Faisalabad District,Punjab,
Gujranwala,Gujranwala District,Punjab,
Mardan,Mardan District,Khyber Pakhtunkhwa,
Sialkot,Sialkot District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Rawalpindi,Rawalpindi District,Punjab,
Rawalpindi,Rawalpindi District,Punjab,
Peshawar,Peshawar District,Khyber Pakhtunkhwa,
Multan,Multan District,Punjab,
Shujabad,Multan District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Sialkot,Sialkot District,Punjab,
Sialkot,Sialkot District,Punjab,
Rawalpindi,Rawalpindi District,Punjab,
Rawalpindi,Rawalpindi District,Punjab,
Multan,Multan District,Punjab,
Sialkot,Sialkot District,Punjab,
Vehari,Vehari District,Punjab,
Kharian,Gujrat District,Punjab,
Faisalabad,,Punjab,
Shakargarh,Narowal District,Punjab,
Karachi,,Sindh,
Rawalpindi,Rawalpindi District,Punjab,
Karachi,Karachi Central District,Sindh,
Sialkot,Sialkot District,Punjab,
Sahiwal,Sahiwal District,Punjab,
Lahore,Lahore District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Mardan,Mardan District,Khyber Pakhtunkhwa,
Sahiwal,Sahiwal District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Khyber,Matiari District,Sindh,
Faisalabad,Faisalabad District,Punjab,
Gujranwala,Gujranwala District,Punjab,
Shorkot,Jhang District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Lahore,Lahore District,Punjab,
Lahore,Lahore District,Punjab,
Karachi,,Sindh,
Quetta,Quetta District,Balochistan,
Gujranwala,Gujranwala District,Punjab,
Karachi,Karachi East District,Sindh,
Peshawar,Peshawar District,Khyber Pakhtunkhwa,
Karachi,,Sindh,
Islamabad,Islamabad,Islamabad Capital Territory,
Gujranwala,Gujranwala District,Punjab,
Gujranwala,Gujranwala District,Punjab,
Okara,Okara District,Punjab,
Gujranwala,Gujranwala District,Punjab,
Gujranwala,Gujranwala District,Punjab,
Gujranwala,Gujranwala District,Punjab,
Sialkot,Sialkot District,Punjab,
Quetta,,Balochistan,
Multan,Multan District,Punjab,
Lahore,Lahore District,Punjab,
Jhang,Jhang District,Punjab,
Bahawalnagar,Bahawalnagar District,Punjab,
Sadiqabad,Rahim Yar Khan,Punjab,
Gujrat,Gujrat District,Punjab,
Depalpur,Okara District,Punjab,
Wazirabad,Gujranwala District,Punjab,
Sialkot,Sialkot District,Punjab,
Rahim Yar Khan,Rahimyar Khan District,Punjab,
Lahore,Lahore District,Punjab,
Quetta,Quetta District,Balochistan,
Faisalabad,Faisalabad District,Punjab,
Gujranwala,Gujranwala District,Punjab,
Pabbi,Nowshehra,Khyber Pakhtunkhwa,
Hafizabad,Hafizabad District,Punjab,
Faisalabad,Faisalabad District,Punjab,
Karachi,,Sindh,
Cholt,Nagar District,Gilgit Baltistan,
Faisalabad,Faisalabad District,Punjab,
Jaranwala,Faisalabad District,Punjab,
Sahiwal,,Punjab,
Lahore,,Punjab,
Korangi,Korangi District,Sindh,
Lahore,Lahore District,Punjab,
Islamabad,,Islamabad Capital Territory,
Lahore,Lahore District,Punjab,
Chiniot,Chiniot,Punjab,
Islamabad,Islamabad,Islamabad Capital Territory,
Lahore,,Punjab,
Multan,,Punjab,
Karachi,Karachi East District,Sindh,
Sialkot,,Punjab,
Lahore,,Punjab,
Lahore,,Punjab,
Lahore,,Punjab,
Lahore,,Punjab,
Lahore,Lahore District,Punjab,
